|question|answer
0|1. Question: Which of the following statements about equity securities is correct?  Options: A. Equity securities have historically offered average real annual returns lower than government bills and bonds. B. Common shares do not give investors any claim on a company's operating performance. C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. D. Private equity securities are primarily issued to individual investors in public offerings.|: C. Preference shares are a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders.  Explanation: Preference shares are indeed a form of equity in which payments made to preference shareholders take precedence over any payments made to common stockholders. This means that preference shareholders have a higher claim on the company's earnings compared to common stockholders. This characteristic distinguishes preference shares from common shares. The other options are incorrect as equity securities historically offer higher returns than government bills and bonds, common shares do give investors a claim on a company's operating performance, and private equity securities are primarily issued to institutional investors in private placements.
1|2. Question: What is the role of financial intermediaries in the financial system?  Options: A. Financial intermediaries allow buyers to connect with sellers directly without any intermediary involvement. B. Financial intermediaries create instruments through arbitrage, securitization, and pooling insurance contracts. C. Financial intermediaries do not help in connecting buyers to sellers in the financial markets. D. Financial intermediaries do not play any role in managing risks in the financial system.|: B. Financial intermediaries create instruments through arbitrage, securitization, and pooling insurance contracts.  Explanation: Financial intermediaries play a crucial role in the financial system by creating instruments through activities such as arbitrage, securitization, borrowing to lend, managing investment funds, and pooling insurance contracts. These activities help in transforming cash flows and risks from one form to another, allowing buyers and sellers to connect with each other through instruments that meet their specific needs. The other options are incorrect as financial intermediaries do not allow direct connection between buyers and sellers, they do help in connecting buyers to sellers, and they play a significant role in managing risks in the financial system.
2|3. Question: What is the purpose of security market indexes?  Options: A. Security market indexes are intended to measure the values of different target markets. B. Security market indexes do not reflect the prices of constituent securities. C. Security market indexes are only used as benchmarks for actively managed portfolios. D. Security market indexes do not serve as proxies for measuring systematic risk.|: A. Security market indexes are intended to measure the values of different target markets.  Explanation: The primary purpose of security market indexes is to measure the values of different target markets, including security markets, market segments, or asset classes. These indexes are designed to represent the target market by selecting constituent securities that best reflect its characteristics. The other options are incorrect as security market indexes do reflect the prices of constituent securities, they serve as benchmarks for actively managed portfolios, and they do serve as proxies for measuring systematic risk.
3|4. Question: What is the difference between price return index and total return index?  Options: A. Price return index reflects prices of constituent securities and reinvestment of all income received. B. Total return index reflects only the prices of the constituent securities. C. Price return index does not include the reinvestment of income received. D. Total return index does not reflect the prices of the constituent securities.|: C. Price return index does not include the reinvestment of income received.  Explanation: The key difference between a price return index and a total return index is that a price return index reflects only the prices of the constituent securities, while a total return index reflects not only the prices but also the reinvestment of all income received since the inception of the index. This means that the total return index takes into account the reinvestment of dividends or interest earned on the securities in the index, providing a more comprehensive measure of returns. The other options are incorrect as the price return index does not include reinvestment of income, the total return index does reflect the prices of constituent securities, and the price return index reflects only prices without reinvestment.
4|5. Question: What is the significance of well-functioning secondary markets in the financial system?  Options: A. Well-functioning secondary markets are not essential for raising capital in primary markets. B. Investors do not value the ability to sell their securities in liquid markets. C. Secondary markets allow investors to trade their securities if they no longer want to hold them. D. Secondary markets do not provide liquidity to traders in quote-driven markets.|: C. Secondary markets allow investors to trade their securities if they no longer want to hold them.  Explanation: Well-functioning secondary markets are essential in the financial system because they provide investors with the ability to trade their securities if they no longer want to hold them or if they need to disinvest to raise cash. This liquidity allows investors to exit their positions easily, which in turn enhances the attractiveness of primary market offerings. The other options are incorrect as secondary markets are essential for raising capital in primary markets, investors do value the ability to sell their securities in liquid markets, and secondary markets provide liquidity to traders in both quote-driven and order-driven markets.
5|1. Question: What is the primary difference between price return index and total return index?  Options: A. Price return index reflects only the prices of the constituent securities, while total return index reflects prices and reinvestment of all income received. B. Price return index reflects prices and reinvestment of all income received, while total return index reflects only the prices of the constituent securities. C. Price return index reflects prices and dividends of the constituent securities, while total return index reflects only the prices of the constituent securities. D. Price return index reflects only the prices of the constituent securities, while total return index reflects prices and dividends of the constituent securities.|: A. Price return index reflects only the prices of the constituent securities, while total return index reflects prices and reinvestment of all income received.  Explanation: The correct answer is A. A price return index reflects only the prices of the constituent securities, while a total return index reflects not only the prices of the constituent securities but also the reinvestment of all income received since the inception of the index. This distinction is important as it affects the overall return calculation and performance measurement of the index. Option B is incorrect as it provides an inaccurate description of the two types of indexes. Option C is incorrect as it incorrectly states that the price return index reflects dividends, which it does not. Option D is incorrect as it inaccurately describes the components included in each type of index.
6|2. Question: What is the purpose of periodic rebalancing in index management?  Options: A. To ensure that the index maintains appropriate weightings B. To increase the turnover in the index C. To decrease the volatility of the index D. To change the target market of the index|: A. To ensure that the index maintains appropriate weightings  Explanation: The correct answer is A. Periodic rebalancing in index management is done to ensure that the index maintains appropriate weightings of the constituent securities. This process helps in keeping the index aligned with its target market and objectives. Option B is incorrect as periodic rebalancing is not done to increase turnover but rather to maintain appropriate weightings. Option C is incorrect as rebalancing does not necessarily aim to decrease volatility. Option D is incorrect as rebalancing does not involve changing the target market of the index.
7|3. Question: What is the key function of security market indexes for investors?  Options: A. To predict future market movements B. To provide a benchmark for actively managed portfolios C. To guarantee a fixed rate of return D. To eliminate market risk|: B. To provide a benchmark for actively managed portfolios  Explanation: The correct answer is B. One of the key functions of security market indexes for investors is to provide a benchmark for actively managed portfolios. These indexes help investors gauge the performance of their portfolios against a relevant market index. Option A is incorrect as indexes do not predict future market movements but rather reflect current market conditions. Option C is incorrect as indexes do not guarantee a fixed rate of return. Option D is incorrect as indexes do not eliminate market risk but rather help investors measure and manage it.
8|4. Question: What is the primary purpose of security market indexes?  Options: A. To measure the values of different target markets B. To guarantee a minimum rate of return C. To eliminate all investment risk D. To provide insider trading opportunities|: A. To measure the values of different target markets  Explanation: The correct answer is A. The primary purpose of security market indexes is to measure the values of different target markets, such as security markets, market segments, or asset classes. These indexes serve as a tool for investors to track and analyze the performance of specific markets or segments. Option B is incorrect as indexes do not guarantee a minimum rate of return. Option C is incorrect as indexes do not eliminate all investment risk. Option D is incorrect as indexes do not provide insider trading opportunities but rather offer transparency and market information to all investors.
9|5. Question: What is the significance of index construction choices on index valuation and returns?  Options: A. Index construction choices have no impact on index valuation and returns B. Index construction choices affect index valuation but not returns C. Index construction choices affect both index valuation and returns D. Index construction choices only affect returns but not valuation|: C. Index construction choices affect both index valuation and returns  Explanation: The correct answer is C. Index construction choices have a significant impact on both index valuation and returns. The methods used to weight the constituents of an index can affect the overall performance and representation of the index. It is important for investors to understand how index construction choices can influence the outcomes of their investments. Option A is incorrect as index construction choices do impact valuation and returns. Option B is incorrect as it inaccurately states that only valuation is affected. Option D is incorrect as index construction choices impact both valuation and returns.
